0, 1, 2, 3
3, 4, 5, 6
6, 7, 8, 8
8, 8, 9, 9
9, 9, 10, 11
11, 12, 13, 14
14, 14, 15, 15
15, 16, 16, 17
17, 18, 19, 0
20, 21, 22, 22
22, 22, 23, 23
23, 24, 25, 20
