% Sierra SPYHIS Output Mon Sep 16 13:34:22 2019
        TIME,   x_origin_x,   x_origin_y,   x_origin_z,   u_origin_x,   u_origin_y,   u_origin_z,   v_origin_x,   v_origin_y,   v_origin_z,   a_origin_x,   a_origin_y,   a_origin_z,       x_cg_x,       x_cg_y,       x_cg_z,       u_cg_x,       u_cg_y,       u_cg_z,       v_cg_x,       v_cg_y,       v_cg_z,       a_cg_x,       a_cg_y,       a_cg_z,      x_tip_x,      x_tip_y,      x_tip_z,      u_tip_x,      u_tip_y,      u_tip_z,      v_tip_x,      v_tip_y,      v_tip_z,      a_tip_x,      a_tip_y,      a_tip_z,        x_P_x,        x_P_y,        x_P_z,        u_P_x,        u_P_y,        u_P_z,        v_P_x,        v_P_y,        v_P_z,        a_P_x,        a_P_y,        a_P_z,        x_Q_x,        x_Q_y,        x_Q_z,        u_Q_x,        u_Q_y,        u_Q_z,        v_Q_x,        v_Q_y,        v_Q_z,        a_Q_x,        a_Q_y,        a_Q_z,        x_R_x,        x_R_y,        x_R_z,        u_R_x,        u_R_y,        u_R_z,        v_R_x,        v_R_y,        v_R_z,        a_R_x,        a_R_y,        a_R_z
        TIME,   x_origin_x,   x_origin_y,   x_origin_z,   u_origin_x,   u_origin_y,   u_origin_z,   v_origin_x,   v_origin_y,   v_origin_z,   a_origin_x,   a_origin_y,   a_origin_z,       x_cg_x,       x_cg_y,       x_cg_z,       u_cg_x,       u_cg_y,       u_cg_z,       v_cg_x,       v_cg_y,       v_cg_z,       a_cg_x,       a_cg_y,       a_cg_z,      x_tip_x,      x_tip_y,      x_tip_z,      u_tip_x,      u_tip_y,      u_tip_z,      v_tip_x,      v_tip_y,      v_tip_z,      a_tip_x,      a_tip_y,      a_tip_z,        x_P_x,        x_P_y,        x_P_z,        u_P_x,        u_P_y,        u_P_z,        v_P_x,        v_P_y,        v_P_z,        a_P_x,        a_P_y,        a_P_z,        x_Q_x,        x_Q_y,        x_Q_z,        u_Q_x,        u_Q_y,        u_Q_z,        v_Q_x,        v_Q_y,        v_Q_z,        a_Q_x,        a_Q_y,        a_Q_z,        x_R_x,        x_R_y,        x_R_z,        u_R_x,        u_R_y,        u_R_z,        v_R_x,        v_R_y,        v_R_z,        a_R_x,        a_R_y,        a_R_z
 0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  5.05376e-01,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00, -9.81000e+00,  0.00000e+00,  1.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00, -9.81000e+00,  0.00000e+00,  1.00000e+00, -1.00000e-02, -1.00000e-02,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00, -9.81000e+00,  0.00000e+00,  1.00000e+00,  1.00000e-02, -1.00000e-02,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00, -9.81000e+00,  0.00000e+00,  1.00000e+00, -1.00000e-02,  1.00000e-02,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00, -9.81000e+00,  0.00000e+00
 1.00001e-02,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  5.05376e-01, -4.93826e-04,  1.44957e-21, -5.43013e-07, -4.93826e-04,  1.44957e-21, -2.11200e-04, -1.05424e-01,  2.41158e-16, -5.24621e-02, -1.39096e+01, -1.05375e-11,  9.99999e-01, -4.86415e-04,  2.44820e-20, -5.21646e-07, -4.86415e-04,  2.44820e-20, -2.10799e-04, -9.39300e-02,  2.59821e-16, -5.40315e-02, -1.17615e+01, -2.46983e-11,  1.00000e+00, -1.04864e-02, -1.00000e-02,  1.80427e-07, -4.86415e-04,  1.23273e-10,  6.71630e-04, -9.39336e-02, -3.97207e-07, -3.40657e-01, -1.17992e+01, -7.97780e-02,  9.99999e-01,  9.51359e-03, -1.00000e-02, -1.22373e-06, -4.86415e-04, -1.22004e-10, -1.09323e-03, -9.39338e-02,  3.97095e-07,  2.32643e-01, -1.17993e+01,  7.98142e-02,  1.00000e+00, -1.04864e-02,  1.00000e-02,  1.80427e-07, -4.86415e-04, -1.23273e-10,  6.71630e-04, -9.39336e-02,  3.97207e-07, -3.40657e-01, -1.17992e+01,  7.97780e-02
 2.00001e-02,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  5.05370e-01, -2.17065e-03, -1.20391e-20, -6.83928e-06, -2.17065e-03, -1.20391e-20, -1.22720e-03, -2.22448e-01, -8.99586e-17, -1.54314e-01, -1.03056e+01,  3.33486e-11,  9.99993e-01, -1.97499e-03, -2.33565e-20, -6.89617e-06, -1.97499e-03, -2.33565e-20, -1.23105e-03, -1.76579e-01, -4.29237e-16, -1.51630e-01, -5.72233e+00, -2.32480e-11,  9.99989e-01, -1.19750e-02, -1.00000e-02, -1.12043e-05, -1.97498e-03, -1.33153e-11,  3.90472e-04, -1.76580e-01,  1.81041e-06, -9.71535e-01, -5.62575e+00, -1.03559e-01,  9.99997e-01,  8.02501e-03, -1.00000e-02, -2.58807e-06, -1.97499e-03,  1.69287e-11, -2.85257e-03, -1.76579e-01, -1.80934e-06,  6.67543e-01, -5.62697e+00,  1.03580e-01,  9.99989e-01, -1.19750e-02,  1.00000e-02, -1.12043e-05, -1.97498e-03,  1.33153e-11,  3.90472e-04, -1.76580e-01, -1.81041e-06, -9.71535e-01, -5.62575e+00,  1.03559e-01
 3.00000e-02,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  5.05348e-01, -4.86951e-03,  8.66980e-20, -2.87565e-05, -4.86951e-03,  8.66980e-20, -3.37135e-03, -3.19457e-01,  1.92345e-16, -2.85233e-01, -8.94145e+00, -8.58128e-11,  9.99970e-01, -4.03868e-03, -1.19012e-19, -2.97203e-05, -4.03868e-03, -1.19012e-19, -3.62293e-03, -2.55290e-01, -4.42239e-15, -3.16915e-01, -1.33463e+01,  1.41777e-10,  9.99999e-01, -1.40386e-02, -1.00000e-02, -8.77668e-07, -4.03863e-03,  1.08854e-10, -3.04417e-04, -2.55276e-01, -1.92328e-06, -4.10016e-01, -1.34657e+01,  6.24823e-02,  9.99941e-01,  5.96128e-03, -1.00000e-02, -5.85630e-05, -4.03872e-03, -1.00973e-10, -6.94147e-03, -2.55295e-01,  1.92206e-06, -2.21368e-01, -1.34673e+01, -6.24417e-02,  9.99999e-01, -1.40386e-02,  1.00000e-02, -8.77668e-07, -4.03863e-03, -1.08854e-10, -3.04417e-04, -2.55276e-01,  1.92328e-06, -4.10016e-01, -1.34657e+01, -6.24823e-02
 4.00090e-02,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  5.05296e-01, -8.52782e-03,  1.74525e-19, -8.00594e-05, -8.52782e-03,  1.74525e-19, -7.17046e-03, -4.03077e-01,  8.02289e-16, -4.40909e-01, -3.25011e+00, -1.37252e-10,  9.99916e-01, -7.31629e-03, -1.95612e-19, -8.40110e-05, -7.31629e-03, -1.95612e-19, -7.38139e-03, -4.16720e-01, -3.80266e-16, -4.39732e-01, -1.56145e+01,  2.97960e-10,  9.99972e-01, -1.73161e-02, -1.00000e-02, -2.75400e-05, -7.31614e-03,  1.11227e-10, -6.72810e-03, -4.16714e-01,  7.13547e-07, -6.26447e-02, -1.56081e+01,  1.04982e-01,  9.99860e-01,  2.68355e-03, -1.00000e-02, -1.40482e-04, -7.31645e-03, -1.00216e-10, -8.03473e-03, -4.16721e-01, -7.18656e-07, -8.16306e-01, -1.56124e+01, -1.04798e-01,  9.99972e-01, -1.73161e-02,  1.00000e-02, -2.75400e-05, -7.31614e-03, -1.11227e-10, -6.72810e-03, -4.16714e-01, -7.13547e-07, -6.26447e-02, -1.56081e+01, -1.04982e-01
 5.00088e-02,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  5.05201e-01, -1.27415e-02,  3.26000e-19, -1.75805e-04, -1.27415e-02,  3.26000e-19, -1.21501e-02, -4.40004e-01, -1.34089e-15, -5.75069e-01, -7.23539e+00,  9.73999e-11,  9.99819e-01, -1.23629e-02, -1.69562e-19, -1.80988e-04, -1.23629e-02, -1.69562e-19, -1.22197e-02, -6.04975e-01, -4.98230e-15, -5.77527e-01, -1.90378e+01,  2.94751e-11,  9.99873e-01, -2.23627e-02, -1.00000e-02, -1.27068e-04, -1.23627e-02,  1.92655e-10, -1.43021e-02, -6.04987e-01,  1.71004e-07,  2.29331e-01, -1.90587e+01,  6.60099e-02,  9.99765e-01, -2.36302e-03, -1.00000e-02, -2.34908e-04, -1.23630e-02, -1.77699e-10, -1.01374e-02, -6.04965e-01, -1.68939e-07, -1.38978e+00, -1.90681e+01, -6.65832e-02,  9.99873e-01, -2.23627e-02,  1.00000e-02, -1.27068e-04, -1.23627e-02, -1.92655e-10, -1.43021e-02, -6.04987e-01, -1.71004e-07,  2.29331e-01, -1.90587e+01, -6.60099e-02
 6.00084e-02,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  5.05050e-01, -1.74351e-02,  8.40128e-19, -3.26428e-04, -1.74351e-02,  8.40128e-19, -1.79735e-02, -4.94469e-01, -8.45831e-16, -5.68859e-01, -3.76304e+00,  1.68327e-10,  9.99664e-01, -1.95849e-02, -8.00190e-19, -3.35585e-04, -1.95849e-02, -8.00190e-19, -1.92353e-02, -8.24376e-01, -1.12659e-14, -8.64067e-01, -2.00976e+01,  5.54614e-10,  9.99662e-01, -2.95849e-02, -1.00000e-02, -3.37633e-04, -1.95849e-02,  3.65444e-10, -2.67174e-02, -8.24376e-01,  2.92393e-07, -1.52898e+00, -2.00064e+01,  1.67396e-02,  9.99666e-01, -9.58494e-03, -1.00000e-02, -3.33537e-04, -1.95849e-02, -3.44357e-10, -1.17530e-02, -8.24379e-01, -2.91794e-07, -1.98913e-01, -2.00175e+01, -1.66322e-02,  9.99662e-01, -2.95849e-02,  1.00000e-02, -3.37633e-04, -1.95849e-02, -3.65444e-10, -2.67174e-02, -8.24376e-01, -2.92393e-07, -1.52898e+00, -2.00064e+01, -1.67396e-02
 7.00081e-02,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  5.04843e-01, -2.25493e-02,  1.08672e-18, -5.33837e-04, -2.25493e-02,  1.08672e-18, -2.36029e-02, -5.29525e-01,  9.12054e-15, -6.12088e-01, -3.40167e+00, -2.95412e-11,  9.99423e-01, -2.86983e-02, -6.18324e-19, -5.76605e-04, -2.86983e-02, -6.18324e-19, -2.95073e-02, -9.89350e-01,  3.46887e-15, -1.24248e+00, -1.68724e+01,  5.84628e-10,  9.99340e-01, -3.86980e-02, -1.00000e-02, -6.59631e-04, -2.86980e-02,  2.41435e-10, -3.69738e-02, -9.89289e-01,  9.55025e-07, -1.23151e+00, -1.68951e+01, -1.22955e-02,  9.99506e-01, -1.86987e-02, -1.00000e-02, -4.93580e-04, -2.86987e-02, -2.12931e-10, -2.20407e-02, -9.89413e-01, -9.47215e-07, -1.23908e+00, -1.69066e+01,  1.28136e-02,  9.99340e-01, -3.86980e-02,  1.00000e-02, -6.59631e-04, -2.86980e-02, -2.41435e-10, -3.69738e-02, -9.89289e-01, -9.55025e-07, -1.23151e+00, -1.68951e+01,  1.22955e-02
 8.00077e-02,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  5.04572e-01, -2.80681e-02,  1.39199e-18, -8.04564e-04, -2.80681e-02,  1.39199e-18, -3.10302e-02, -5.76680e-01,  1.82120e-15, -7.60645e-01, -1.34015e+00, -3.39150e-10,  9.99053e-01, -3.96664e-02, -2.08627e-21, -9.46787e-04, -3.96664e-02, -2.08627e-21, -4.60528e-02, -1.21708e+00, -4.43461e-15, -2.12726e+00, -2.39456e+01,  1.68933e-10,  9.98870e-01, -4.96647e-02, -1.00000e-02, -1.12972e-03, -3.96647e-02,  5.29470e-10, -5.98558e-02, -1.21682e+00, -6.50687e-07, -3.32632e+00, -2.37833e+01,  5.55190e-02,  9.99236e-01, -2.96680e-02, -1.00000e-02, -7.63852e-04, -3.96680e-02, -4.82141e-10, -3.22499e-02, -1.21733e+00,  6.48724e-07, -9.17707e-01, -2.38655e+01, -5.59165e-02,  9.98870e-01, -4.96647e-02,  1.00000e-02, -1.12972e-03, -3.96647e-02, -5.29470e-10, -5.98558e-02, -1.21682e+00,  6.50687e-07, -3.32632e+00, -2.37833e+01, -5.55190e-02
