# time (s), omega_x (rad/s), omega_y (rad/s), omega_z (rad/s)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000009999999999961e-02,1.985754997517556934e-05,9.928779952263265933e-10,8.824304440091472468e-02
2.000009999999999982e-02,-9.049374276049288411e-05,3.619747900549384937e-08,1.621520129796743814e-01
2.999999999999999889e-02,9.613309575617647572e-05,2.787876504188262096e-07,3.318546052301858951e-01
4.000900000000000289e-02,-3.580451356991962831e-05,-2.005087848952873253e-07,6.533255448924027431e-02
5.000879999999999909e-02,-8.498451089512745421e-06,-4.589237016129012495e-08,-2.082381995831778798e-01
6.000840000000000340e-02,-1.460467470787671124e-05,2.920940783459830778e-09,-7.482214965141333884e-01
7.000810000000000366e-02,-4.755436190354380734e-05,3.947150188250712459e-07,-7.466811549763975320e-01
8.000770000000000104e-02,3.247983507429648805e-05,-5.944790709062884885e-07,-1.380527112962567138e+00
9.000729999999999842e-02,-4.612426057940097364e-06,1.529860661570935019e-07,-1.768065326250628067e+00
1.000069999999999987e-01,-4.556572172273934672e-05,2.438975561132807603e-06,-2.278804283619388027e+00
1.100069999999999937e-01,-2.437896034249803186e-05,1.896296226201551941e-06,-2.226688355544242715e+00
1.200070000000000026e-01,-1.985835843735229731e-05,1.984798040838078666e-06,-2.210275969981251531e+00
1.300070000000000114e-01,-9.433310181839592125e-06,1.154750075153371615e-06,-2.218769975783586812e+00
1.400069999999999926e-01,8.545538006926237237e-05,-1.237319992313371877e-05,-2.375557804641164505e+00
1.500070000000000014e-01,9.150585769334241366e-06,-1.548453585814790804e-06,-2.275676202697814343e+00
1.600070000000000103e-01,-7.267733857367886942e-06,1.379645136545488511e-06,-1.751214544963778152e+00
1.700069999999999915e-01,-8.498293991250803416e-06,1.772756801525592721e-06,-1.752845130099188742e+00
1.800070000000000003e-01,-1.605993934746492492e-07,3.647104105518242897e-08,-1.997278399672181237e+00
1.900070000000000092e-01,2.976792711461707445e-06,-7.458860500214109106e-07,-2.490680244935839394e+00
2.000059999999999893e-01,-4.170549312966031710e-05,1.155696994944055856e-05,-2.381503960628988281e+00
2.100059999999999982e-01,-4.713386370925097486e-05,1.439865978214855254e-05,-2.739621029383418893e+00
2.200060000000000071e-01,-4.661605244203315373e-05,1.575026217721647040e-05,-3.148498070714372599e+00
2.300049999999999872e-01,2.689321916458078585e-05,-1.015304901814960356e-05,-4.021711217232393665e+00
2.400049999999999961e-01,-1.167123450845435311e-05,4.967076491344555012e-06,-4.182526892978883026e+00
2.500049999999999772e-01,1.551755981810760878e-05,-7.387554643718599996e-06,-4.229193350067230739e+00
2.600049999999999861e-01,-2.433171710413628306e-05,1.287680112627665214e-05,-4.113266300085336447e+00
2.700049999999999950e-01,4.407627809049608525e-06,-2.576115124163355819e-06,-4.427456646237722282e+00
2.800050000000000039e-01,2.538302540191405277e-05,-1.640422215520767935e-05,-4.490199750745905050e+00
2.900050000000000128e-01,-3.557187239359064878e-06,2.517377284919749456e-06,-3.963322015811539423e+00
3.000050000000000217e-01,-1.073662716812394307e-05,8.252381404117752674e-06,-3.712597648222266677e+00
3.100049999999999750e-01,6.820291273295010300e-06,-5.646241392938121654e-06,-3.684301411033008566e+00
3.200049999999999839e-01,1.820801293456484954e-05,-1.630289265503544446e-05,-4.083451975414504886e+00
3.300040000000000195e-01,1.934578051669931588e-05,-1.877559760431337811e-05,-4.032396797430529034e+00
3.400039999999999729e-01,-1.413087469774765534e-05,1.489465027167600727e-05,-4.215890531012333575e+00
3.500039999999999818e-01,6.325177464667778339e-06,-7.262205125009033992e-06,-4.348661053531118981e+00
3.600039999999999907e-01,-3.620413588480611415e-06,4.578269082023005559e-06,-5.165514171187258974e+00
3.700030000000000263e-01,-7.592472030934314733e-06,1.073808441475615155e-05,-5.489330364958030728e+00
3.800029999999999797e-01,6.481171583535504213e-06,-1.034814038629673919e-05,-5.726679846535532192e+00
3.900029999999999886e-01,-6.714840793458655343e-06,1.221621492494805895e-05,-5.512908568701274881e+00
4.000029999999999974e-01,7.053049542838228459e-06,-1.475367794469889484e-05,-5.847385159048417158e+00
4.100030000000000063e-01,4.181979681463838025e-06,-1.026949617390347846e-05,-5.909510263064096769e+00
4.200030000000000152e-01,4.873198701822548230e-06,-1.423958292689741458e-05,-5.587479584225710560e+00
4.300030000000000241e-01,3.052159254555715846e-06,-1.077862002852178991e-05,-5.107315268223416638e+00
4.400020000000000042e-01,6.716146420853341431e-07,-2.904368157051663601e-06,-4.792232075863871898e+00
4.500020000000000131e-01,-6.865856296172489421e-06,3.819884548724068063e-05,-4.948516008283471379e+00
4.600020000000000220e-01,2.278472937004149886e-06,-1.760557487552691724e-05,-4.917810634282647975e+00
4.700019999999999754e-01,-7.352337892635667225e-07,9.218953136107624425e-06,-4.925184049867689318e+00
4.800019999999999842e-01,-1.742167037985362468e-07,5.467149901509826796e-06,-4.747205080679552935e+00
4.900019999999999931e-01,1.212457376558966256e-07,6.137827581622442072e-06,-5.422405541662684847e+00
5.000019999999999465e-01,-2.405378257326569410e-06,-3.143337588081809766e-05,-5.853304185365120205e+00
5.100019999999999554e-01,-1.772904356372580490e-06,-1.296857612620138613e-05,-6.146095630997693071e+00
5.200019999999999643e-01,-3.592338479179577583e-06,-1.815602291640967258e-05,-5.801710340752692652e+00
5.300010000000000554e-01,1.246045783077122528e-06,4.797078007761280750e-06,-6.014359079976028255e+00
5.400009999999999533e-01,9.838569000789931822e-07,3.017425637903565875e-06,-6.006324338334094293e+00
5.500009999999999621e-01,1.493354687163460441e-06,3.796000742623075843e-06,-5.892354285415187576e+00
5.600009999999999710e-01,3.182271247486292200e-06,6.929169752373715219e-06,-5.214680296649954805e+00
