# Bob-063c, 2020-02-26
# max(eig(GL strain rate)), max(eig(GL strain))
4.980920004433001225e+01,1.540406373749072903e-02
5.471843112773305506e+01,1.643134358065559755e-02
3.499673645678823419e+01,1.733110580462575087e-02
5.513859895008943113e+01,1.657811668443060979e-02
3.530856619223082049e+01,1.648079937718986351e-02
4.590844594343408858e+01,1.613036261645766148e-02
3.591200931850445244e+01,1.438240315278816427e-02
4.357024895394859954e+01,1.278631756956874303e-02
3.969821087255320435e+01,1.238944273861006078e-02
3.629840314211034524e+01,1.167325305893621851e-02
6.688835312446002490e+01,1.209853886650114757e-02
3.252822902295205409e+01,1.144300204351185110e-02
6.223969403403016543e+01,1.301755216431385760e-02
3.749111315272093492e+01,1.637345009588506151e-02
2.963104199590547694e+01,1.054793682966889690e-02
5.701871840818794368e+01,7.825510789359974018e-03
2.360884327201485888e+01,9.239293353385269816e-03
3.535088928192912761e+01,9.752591878114173080e-03
5.256063501076758371e+01,1.018652755994004649e-02
7.729214046315679809e+01,1.227960688156842610e-02
4.987581502800939148e+01,1.059361634522685766e-02
2.606105545794330780e+01,8.839640378671180521e-03
4.750065055968200056e+01,1.208470685967517541e-02
6.100868329800991319e+01,9.999977844823719833e-03
5.035262208602288325e+01,1.073157910305776348e-02
3.807447680649789845e+01,9.000023389066516208e-03
2.948470050239929563e+01,8.622110633691483506e-03
4.708884254069891284e+01,1.304123012719470356e-02
5.635695478583684093e+01,9.761833837087261628e-03
7.170628203992140470e+01,1.055252307836118154e-02
5.456363004470115641e+01,1.198271157645465664e-02
7.584446063609736655e+01,9.419461965768772746e-03
3.693701649347075744e+01,9.606832771040747787e-03
4.693237442826494998e+01,1.111359219189228011e-02
5.745655279261340809e+01,1.017135168163755925e-02
4.588205537770156894e+01,8.969290555053259853e-03
1.784756941099447047e+01,1.088346422991199464e-02
5.309873242491369894e+01,1.071818492846783252e-02
4.649855948426110785e+01,1.252263876160613146e-02
3.043389538728086308e+01,1.102073775706365229e-02
5.105449717739297455e+01,1.069555712210357515e-02
4.250436689032983395e+01,1.151496626508571181e-02
4.196149066658386317e+01,1.200399818644271553e-02
4.398234517221796835e+01,1.398065111069235304e-02
2.631056000665058647e+01,1.153437939280935187e-02
5.460142396995897229e+01,1.280557642444444914e-02
5.818586730510524774e+01,1.167682269824055555e-02
4.690036725234637061e+01,1.485772860418607504e-02
6.171792058428589911e+01,1.648347839969939096e-02
4.371260333442010904e+01,1.591734542471940489e-02
5.105473705134905771e+01,1.357108480712867007e-02
1.608683866219082148e+01,1.612056420270342044e-02
3.005258386907251378e+01,1.747734378409769238e-02
2.468773636817025618e+01,1.653206103236861194e-02
2.457495503444498297e+01,1.587273431425611711e-02
1.492897484773301642e+01,1.764970788102455945e-02
4.511109506195354157e+01,1.592259478437950404e-02
2.461266157460665127e+01,1.360117366750257864e-02
6.487309088883469599e+01,1.631761127822991750e-02
2.946326524766879373e+01,1.896918032720365174e-02
4.944221480056084062e+01,1.700785123509690466e-02
6.439661923205849803e+01,1.358141707607310802e-02
5.165662679564947268e+01,1.281954316953591057e-02
6.116068210251456350e+01,1.019894110222083726e-02
2.234424625584106749e+01,1.155863988230379155e-02
3.669952443393798802e+01,8.105989100745909087e-03
6.544373584196702609e+01,1.278278659031700619e-02
5.420302648561575154e+01,1.280446452893361023e-02
3.186684860220494997e+01,9.678595754342841570e-03
7.010777968953111383e+01,1.475699112186704305e-02
2.320399151698182649e+01,1.429572454840058286e-02
4.130065090905165448e+01,1.259164523307098986e-02
7.602024930019868521e+01,1.316168041545168199e-02
4.154292087314441773e+01,1.621726564133054924e-02
4.973825586321824233e+01,1.670626671336560010e-02
4.969824522544384138e+01,1.553577441449032273e-02
5.221535419022322344e+01,1.646171905068234687e-02
4.112269635882881147e+01,1.711486310877111464e-02
3.671128870921819498e+01,1.793190118591751064e-02
2.174815418620354635e+01,1.709574053224289028e-02
4.259334699778118249e+01,1.788844302701292702e-02
3.995597162847249706e+01,1.616146858685726939e-02
4.036036435924044952e+01,1.836902158105725713e-02
4.818543101520137384e+01,1.785636439278923474e-02
6.070992216452106049e+01,1.760455821543051302e-02
5.883095322262621352e+01,1.644781635569032840e-02
4.811830542453776616e+01,1.597543759753498188e-02
6.563472546719879119e+01,1.276086955361777769e-02
5.518991922486898716e+01,1.260122680155771092e-02
4.713730254402467779e+01,1.364612855853019301e-02
3.799981465036961481e+01,1.010399764332985117e-02
5.548081167923027834e+01,1.101815542849913024e-02
5.616327331420431790e+01,1.026839348658760767e-02
2.398356849316996886e+01,1.134334247616259825e-02
5.223888993567892669e+01,1.092989874569002401e-02
3.848261268342008634e+01,1.243043785677123113e-02
5.576854250431207305e+01,1.295527382977722415e-02
4.172216603147028025e+01,1.136972799791828234e-02
5.967355751447693279e+01,1.397299605903749506e-02
5.155201798237809641e+01,1.287628728612580375e-02
4.943868099791907156e+01,1.294397426135848392e-02
5.885269707251160298e+01,1.394483387933018875e-02
2.878202963970514361e+01,1.523443296565884543e-02
7.164798348040825715e+01,1.649526677578886172e-02
3.029981526977119444e+01,1.730473013432512822e-02
5.893389933082283960e+01,1.748694465644951360e-02
3.601916243533610640e+01,1.774081162602425543e-02
1.809414652109594357e+01,1.693507864509827612e-02
4.927940619570227909e+01,1.800804922283199064e-02
3.582157783470868395e+01,1.476047827258099472e-02
2.997161574644790250e+01,1.425811670144410022e-02
3.279332665357553367e+01,1.503834854417342159e-02
5.851531960367823615e+01,1.322810564878729861e-02
4.861651151731263099e+01,1.814632075979492193e-02
3.867787944738054051e+01,1.779209771348983643e-02
4.956192591659495150e+01,1.792051256384511598e-02
4.059636401871634348e+01,1.645107709370723093e-02
3.593991368283668919e+01,1.737510825441512807e-02
4.390827556782468832e+01,1.766775800450244918e-02
6.111154234297810461e+01,1.762172027904939167e-02
3.150889837911905289e+01,1.537835265155130214e-02
3.309756865001481430e+01,1.827364292662773948e-02
3.133145314602997900e+01,1.857176755253109324e-02
2.485419889600144927e+01,1.842589550772146326e-02
4.160462983761426159e+01,1.792121213251788789e-02
3.448352827713014790e+01,1.790226831094011983e-02
2.243927786361507515e+01,1.556277163483394711e-02
2.079621969640106016e+01,1.436145945705342465e-02
3.567667116713447939e+01,1.455638829241475557e-02
7.995869631706115399e+01,1.356153982222917803e-02
5.918633926612560003e+01,1.592357616106357399e-02
5.946040883355085072e+01,1.543456124590387481e-02
4.873640538300152514e+01,1.611576697405190869e-02
5.931099495913714748e+01,1.666339748780719388e-02
5.102856214456292605e+01,1.595073729364914622e-02
6.039099438215903604e+01,1.601808406858509087e-02
4.849912582911910164e+01,1.510172910117602019e-02
4.267255117540439358e+01,1.337808148853501626e-02
3.868019848024457730e+01,1.585462403098305412e-02
4.136934582778958713e+01,1.398748785540444850e-02
5.860813848382758806e+01,1.569944766188332771e-02
9.837677485226041796e+00,1.281346772370642317e-02
5.332058126541357979e+01,1.133987383958429997e-02
6.769820426951864079e+01,1.068686249720330814e-02
4.950024420710523998e+01,1.355529632836940425e-02
4.584613876645531860e+01,1.644819591427573377e-02
5.701340903482178391e+01,1.427095373640297621e-02
3.370082372573816087e+01,1.291557351166321664e-02
5.681916633786942583e+01,1.446132064123343934e-02
5.291338143312412967e+01,1.514222493413921664e-02
4.770035379355018534e+01,1.581026956067524067e-02
5.206288808874779761e+01,1.863514737352086822e-02
4.681795654455675049e+01,1.621298451435007615e-02
2.827057904568930979e+01,1.711966545541728640e-02
6.310563918086030810e+01,1.574699629356820021e-02
3.146491043902595663e+01,1.804212952485739763e-02
3.402883007706572727e+01,1.757939147150768683e-02
2.714601270853541592e+01,1.838484780650075784e-02
4.097475775865868286e+01,1.766096330456224522e-02
3.546357876519072505e+01,1.834840833483478498e-02
4.789017290382667369e+01,1.800288386096505697e-02
2.319253818220067487e+01,1.945746519028818816e-02
3.173277306536054709e+01,1.784838592134743371e-02
2.480958626359464603e+01,1.771623661498119076e-02
1.932820238685648562e+01,1.513388147103360976e-02
4.085316226247685734e+01,1.302153892378565651e-02
3.471775803584262832e+01,1.564590001721462634e-02
5.262654471744332341e+01,1.468830062642383777e-02
4.175973117275704993e+01,1.154254282256112450e-02
3.597788455890344750e+01,1.293829815000964271e-02
5.095688359357664865e+01,1.197666947349487754e-02
3.715416332654164222e+01,1.291762701078889679e-02
5.456019633109171707e+01,1.365108935666486077e-02
3.519046937872654013e+01,1.604302814252837883e-02
3.536994264108217578e+01,1.413216936555282237e-02
4.221827323953488786e+01,1.290699268132568765e-02
4.027546327800430959e+01,1.681907747741808942e-02
2.660517487975663542e+01,1.862012460217797247e-02
4.233087319837537166e+01,1.664947281896484929e-02
4.075144475207270744e+01,1.811647647977666920e-02
3.216160957658374997e+01,1.932018768436787395e-02
3.898340668081313254e+01,1.807329973180314339e-02
4.708493209325965267e+01,1.759141141121553509e-02
4.723389397186642924e+01,1.871105195509890212e-02
3.534206280101351894e+01,2.095387095252228618e-02
4.019608722106900700e+01,1.798375387375428583e-02
4.149629831423894899e+01,1.960067600351600436e-02
5.927421489556630263e+01,2.157013423076876990e-02
3.899501430508711053e+01,1.882220560682667035e-02
3.595078843744339281e+01,1.809713152346361861e-02
2.364427488170442615e+01,1.887651049917853097e-02
6.357830402814423110e+01,1.291692693973008239e-02
4.447883461548806139e+01,1.361103206637845862e-02
2.362965667898266631e+01,1.412048424500936435e-02
4.321944546055547676e+01,1.430858580248530430e-02
2.384150963016477931e+01,1.391556119721433678e-02
5.146950621819998162e+01,1.177702918593425373e-02
3.687422047387601509e+01,1.274659814305691488e-02
2.655797782023307363e+01,1.931588367398612976e-02
2.595802494995896836e+01,1.427314899856530449e-02
2.553127834532305585e+01,1.847271525850519014e-02
2.473998159015197018e+01,1.865781944337962378e-02
3.616853248347181449e+01,1.674082098183836756e-02
3.776225211898720602e+01,1.781344376941411053e-02
4.865731991727567873e+01,1.351308454712218249e-02
3.219415702498508125e+01,1.733374907676156138e-02
4.449993051702154645e+01,1.868329571896844635e-02
3.136582013508634148e+01,1.446433782326253005e-02
4.007723124214281540e+01,1.918781944361475089e-02
3.040681634568607805e+01,1.862820720239462616e-02
3.864997030160571967e+01,1.641742018905499242e-02
2.550171537036764491e+01,1.204723724001523222e-02
4.070272848981798575e+01,1.754013484632093584e-02
2.815399686706641802e+01,1.726326201350295367e-02
4.203829803559327871e+01,1.456398093185632021e-02
4.538588730916825398e+01,1.552224327153820492e-02
2.978503496030551645e+01,1.690501649977292284e-02
5.016227212164563554e+01,1.766443416367733873e-02
4.712813396977004032e+01,1.635136390783983179e-02
4.450093011073745686e+01,1.696279760896972355e-02
5.594880772865446517e+01,1.402484843365655980e-02
4.150196579132618524e+01,1.433373053090017911e-02
5.944096542073917533e+01,1.320824237988208437e-02
4.851482032640978304e+01,1.378493494758768236e-02
4.969510453265241523e+01,1.388077711685868632e-02
5.067599733690299502e+01,1.331218969217293213e-02
4.906238364339727553e+01,1.548379006017198446e-02
2.161288255989102680e+01,1.104715448946328067e-02
3.538972949263577306e+01,1.328000784717304171e-02
2.970938052149920594e+01,1.298116869518347281e-02
2.435821649597334826e+01,1.180408731892130386e-02
2.962521748241675112e+01,1.351629863710934742e-02
3.968816241469865957e+01,1.281910970020101737e-02
1.895631074843267783e+01,1.137795058413229587e-02
2.282824734560846736e+01,1.297065022414277749e-02
3.440608296007601297e+01,1.563287869292427981e-02
2.486452384378937808e+01,1.371642476978252208e-02
4.977207283573353891e+01,1.518663369936575080e-02
1.436378477790473873e+01,1.531808257948098079e-02
5.251223554702598761e+01,1.441367009783802583e-02
3.627268632859929909e+01,1.472069823617330048e-02
2.891788529737009839e+01,1.301366978086970771e-02
4.958993111300637935e+01,1.220060909423858163e-02
1.379511791910136154e+01,1.315542611151826122e-02
5.714317683571281492e+01,1.266558117958733326e-02
3.022808387172362288e+01,1.177253213286917274e-02
3.978699481990866360e+01,1.111708691875412311e-02
2.440638868016474916e+01,1.348934888480018621e-02
3.512665606298630649e+01,1.422165624497202102e-02
6.714349929328058408e+01,9.938383599049731981e-03
1.050242631310730346e+01,1.266030412078279418e-02
4.257239201842864418e+01,1.355064133993597736e-02
6.011145903654460909e+01,1.200342363254806172e-02
2.768569001428200238e+01,1.217084984963646109e-02
3.315555643382622009e+01,1.387755204488814488e-02
5.756031554756142299e+01,1.483738931663534932e-02
4.282657297532952612e+01,1.304306464560865339e-02
