# Bob-063c, 2020-02-26
# max(eig(GL strain rate)), max(eig(GL strain))
5.070412758190184377e+01,1.262549289998471033e-02
8.596716259983514874e+01,1.422141946834982323e-02
7.148426868672495971e+01,1.532876534002540481e-02
1.709447200815733581e+01,1.344199970051376813e-02
2.081325839166384739e+01,1.308921852454287584e-02
3.793252539861426698e+01,1.353242566873335759e-02
4.011108597461483782e+01,1.294928182229028099e-02
2.364434905915574703e+01,1.421341017822026070e-02
7.827648801977150583e+01,1.402635297830759180e-02
8.094554059822395686e+01,1.374272204655212735e-02
2.496528799538661758e+01,1.373695557438972537e-02
3.208008095971930373e+01,1.361017152628764097e-02
3.800563167427577582e+01,1.115464977562626719e-02
2.601286079314620991e+01,1.233441237403187264e-02
2.483643164288808336e+01,1.127543302470222254e-02
5.157807517550125453e+01,1.290675050885612199e-02
3.798913629113740598e+01,1.166266376289317418e-02
2.958815282105948796e+01,1.222786525119595562e-02
2.827451517768200873e+01,1.221509988042996514e-02
1.988930275485627419e+01,1.332404743698148604e-02
4.587618491354648143e+01,1.059596884635576053e-02
4.439645056726198646e+01,1.372980821011670488e-02
4.673713725590999957e+01,1.188059223614809125e-02
6.382389377609218428e+01,1.204543151426218893e-02
6.781892028129848882e+01,1.152623931692746406e-02
6.634504392491088254e+01,1.057252601195238749e-02
4.324526191526152274e+01,1.099577676431307861e-02
1.299727136190941224e+01,1.384421915527730626e-02
4.605467029906318288e+01,1.560435742011800561e-02
2.468297955975805991e+01,1.541682127020584624e-02
3.854373165883226449e+01,1.434124364509925011e-02
3.623236850569797696e+01,1.263192138761868102e-02
5.947615841336482845e+01,1.321654158386293895e-02
4.367355890255432627e+01,1.533365848746489658e-02
5.393020754716716425e+01,1.197076216824393725e-02
4.711147396058161263e+01,1.504731854981778208e-02
4.169829623202451785e+01,1.519191631977317644e-02
6.151326552915790558e+01,1.273167432262951350e-02
4.924133349173856544e+01,1.471016679421779244e-02
1.932652416049534239e+01,1.251062285072088338e-02
4.455162495845948456e+01,1.074941234739422435e-02
2.459952862560279385e+01,1.166488174425443780e-02
3.467564745758120637e+01,1.017739242963232489e-02
4.909503491559685529e+01,1.082696282285323768e-02
2.249303463810034032e+01,9.551132620551867208e-03
4.079149879762363895e+01,1.283063698788598425e-02
2.439033988034034905e+01,9.459558951904183804e-03
5.024020163314349219e+01,1.136840755414833017e-02
5.346762680060460582e+01,1.137651684581392902e-02
3.251577029047782474e+01,1.355194394850301083e-02
2.414311870539683724e+01,1.208354434582163163e-02
3.145052648074362978e+01,1.181174793425883267e-02
5.727626564092881267e+01,1.566760200522481980e-02
6.667838873779948017e+01,1.441448415654692991e-02
4.010639081249444615e+01,1.409075412965326776e-02
3.021846025351791099e+01,1.698271255184532688e-02
4.418466950264019744e+01,1.529125267079760320e-02
3.552503032758496460e+01,1.679475234688783403e-02
3.968147068999721938e+01,1.648987098685116004e-02
5.030265809364887275e+01,1.443026638707798140e-02
3.882910704081217546e+01,1.632373789691409297e-02
5.196579716948157568e+01,1.417045769055266108e-02
2.951472390180166627e+01,1.191540445146369726e-02
4.724190783436628038e+01,1.411036828765762849e-02
4.574130755405823123e+01,1.272587320100362906e-02
4.118548295689797811e+01,1.002023945806468017e-02
3.730002732749151306e+01,1.271548432615766423e-02
5.601492742959165128e+01,1.131708600524742279e-02
5.021061695808108993e+01,8.117769349063320289e-03
4.583988049909284967e+01,1.228577759082342437e-02
6.062681741965607785e+01,1.231743398697499221e-02
3.145541264339609810e+01,1.021242217207802942e-02
7.942864133303888252e+01,1.633929085244926332e-02
6.540540264052607711e+01,1.431461032678395251e-02
2.761591494839106531e+01,1.335060587008338358e-02
3.146243179761787090e+01,1.205270471658048508e-02
5.350479352372938280e+01,1.222890182982655852e-02
5.725818183957193241e+01,1.155708135678326469e-02
4.004698328822065179e+01,1.046347139598071199e-02
3.113192787148477692e+01,1.399969130159799992e-02
2.393232413432676964e+01,1.152780826994288625e-02
3.919144957177176991e+01,1.515943283316604356e-02
3.412925960193354058e+01,1.311038803423931337e-02
3.168751000799434081e+01,1.428881407926269921e-02
5.840241431540184891e+01,1.579461838433864757e-02
3.956741920516310529e+01,1.664711973769115311e-02
3.669610624202633886e+01,1.435459868006372548e-02
2.037993950002224963e+01,1.721557119472194239e-02
6.756174941026978331e+01,1.662545109239247157e-02
5.047473790618410305e+01,1.556724548089457281e-02
7.020041960633461997e+01,1.388219237725816027e-02
4.113590885692681809e+01,1.624786506221577442e-02
3.949311725462566613e+01,1.476277167305801996e-02
3.890042409694097358e+01,1.372080813933707240e-02
5.621131852432142040e+01,1.235380770424945353e-02
6.428773225010094450e+01,1.392133837101123227e-02
3.764819200601855442e+01,1.298227352896861621e-02
2.373165096245921646e+01,1.271518310454284803e-02
2.800740366976020113e+01,1.125561487153978191e-02
3.414818856240994904e+01,1.226737698236824749e-02
2.200395077284991885e+01,1.163794292807187637e-02
3.536622046462410651e+01,1.000064625591681571e-02
4.896177386112772467e+01,1.040785800798512718e-02
2.779995185877488240e+01,9.384646302433453241e-03
4.309106978736662796e+01,1.144220556578210042e-02
3.917471168008432159e+01,1.338991600603459814e-02
3.404894422694142975e+01,1.052352418933802207e-02
4.702176858162748374e+01,1.271407167456209061e-02
3.201601640693484541e+01,1.391546774391768174e-02
1.988886163954293096e+01,1.174228700170072692e-02
4.164729719922267037e+01,1.512187256068166230e-02
2.930195795339286136e+01,1.715115570408088860e-02
3.909321510224908991e+01,1.396015179794081809e-02
5.478973223226640243e+01,1.705927015921221077e-02
2.838628670288081679e+01,1.896170788969191862e-02
5.155425218910585272e+01,1.592380141760772749e-02
5.749047262869423491e+01,1.484126873576193523e-02
4.734042612291196406e+01,1.619138801339185113e-02
3.449265050174977887e+01,1.467472420043370966e-02
3.153818692974599713e+01,1.244111136471584209e-02
4.951843542058598047e+01,1.461443776030336116e-02
1.507529424631190196e+01,1.314673178813171445e-02
6.198324555645818634e+01,1.394580487345609479e-02
3.379264341195745658e+01,1.283881995230814338e-02
2.026817929949722341e+01,1.394561025212463952e-02
2.083178325077081183e+01,1.348829182265932208e-02
4.643004568059118498e+01,1.351125110406463208e-02
2.322342131826257727e+01,1.491021046714566083e-02
4.791816324676291572e+01,1.238541643350789430e-02
3.922313430827214376e+01,1.404488041287554195e-02
4.027484218295416696e+01,1.417823718459823232e-02
4.223925755312752983e+01,1.508191522717548631e-02
3.865957667850234003e+01,1.257938329986030279e-02
2.790162690074093632e+01,1.460253198975011713e-02
2.299552214633020952e+01,1.454055310083087610e-02
2.543347709708687532e+01,1.559537089846027222e-02
2.165330881037152722e+01,1.330304441310683171e-02
4.596118861003083111e+01,1.289915476539212937e-02
6.325329967566704426e+01,1.229482798123036728e-02
3.986705076904729594e+01,1.367843083374646607e-02
3.754789816768974475e+01,1.154019443058475376e-02
5.462395577041858985e+01,1.118498018793705022e-02
2.075458910195790807e+01,1.085302433374045299e-02
5.429056708567962630e+01,9.154431969985339645e-03
4.755719506765595384e+01,1.008494590015528852e-02
8.098321347742822240e+01,9.318798861638912662e-03
4.785821165854184045e+01,1.213707052478602520e-02
3.035089591981560275e+01,1.162736111079220626e-02
3.524851861132909647e+01,1.058000175794429620e-02
3.578820540359885882e+01,1.440726563383101268e-02
3.115228853046923874e+01,1.429257806047099996e-02
5.147356859765852022e+01,1.283165241774539625e-02
3.849466170093820949e+01,1.409335161053870689e-02
2.883692642900557246e+01,1.414260891698808711e-02
2.624635083973078764e+01,1.220048510497175054e-02
6.181213921850056892e+01,1.380760283607437508e-02
5.009989684278902899e+01,1.394170682235713714e-02
4.732038294481311169e+01,1.125611278932120603e-02
4.657542154650843713e+01,1.371514917915476334e-02
3.689772743581310976e+01,1.376670399611056375e-02
4.203050237568677971e+01,1.210563217930139997e-02
4.980487494155438810e+01,1.329009337395985549e-02
3.869897910989882917e+01,1.257180021978578609e-02
1.096918222197429849e+01,7.830622536603236428e-03
2.904643622633127720e+01,9.505563968923462156e-03
3.461538889854261924e+01,9.272995902334367838e-03
1.230876668857921885e+01,9.671286396390602058e-03
3.634627733740488509e+01,1.039929544462978028e-02
3.744740082060286568e+01,9.308765620053619655e-03
4.708436837935927599e+01,9.731496010225668472e-03
3.396002915814091239e+01,8.751714380595106493e-03
2.906895513206622184e+01,1.126061878251666606e-02
3.308764593677529575e+01,1.066423445531127119e-02
4.880970742245676774e+01,1.013324019723592546e-02
6.912356183305512047e+01,9.557402865040981119e-03
4.283022179186938416e+01,1.033654100829367768e-02
5.061787167487790384e+01,1.073282199066502053e-02
4.105443522745763829e+01,1.243741290308040745e-02
2.968250180132776705e+01,1.304031088433798072e-02
3.902836229687194702e+01,1.172873701311453846e-02
3.728934042597785492e+01,1.236513729043367885e-02
4.626811559293005160e+01,1.118429447103308841e-02
3.293267447678368853e+01,1.157781168911043920e-02
3.545611648213084521e+01,9.391613368169795042e-03
5.460980775770534024e+01,7.718229527335879886e-03
3.005617188949466012e+01,8.568514705733392897e-03
3.528952398358801190e+01,1.082612008644240516e-02
3.587627765975549465e+01,1.164016081300233221e-02
4.145952327356416589e+01,8.723895365947803918e-03
2.191652344474342939e+01,1.043373708811673808e-02
3.490257261359140983e+01,1.314008154898745062e-02
4.191633832194666809e+01,1.368424563993089586e-02
5.618258783973324455e+01,1.117102779180095644e-02
2.209679603005196569e+01,1.318209553959724320e-02
2.186321059384567178e+01,1.273906314362591510e-02
4.299460230674351635e+01,1.456722632257631371e-02
3.524533885903090891e+01,1.459171628403283308e-02
4.071080651886147450e+01,1.359581735302313292e-02
1.936249866508334350e+01,1.377276549197471549e-02
4.543748583299786503e+01,1.327683680802704304e-02
3.970635638769329034e+01,1.567842896916993300e-02
4.940408040005141288e+01,1.479340296327656852e-02
5.109826912151709166e+01,1.608679400907855189e-02
3.577683797733315885e+01,1.475294425500472094e-02
4.005112715583784677e+01,1.411619448464578042e-02
3.875470820356072466e+01,1.612998644029167358e-02
4.222539763899551701e+01,1.512489417115850387e-02
3.467719971854788952e+01,1.686469943910263308e-02
3.554262873832501413e+01,1.521886012855449416e-02
2.285465724808210197e+01,1.570591695083048758e-02
5.697136808281074138e+01,1.322677680278612142e-02
3.488562091919054353e+01,1.300384410378800648e-02
4.573947991892134723e+01,1.390310642332272945e-02
5.950595833727680883e+01,1.199184658902585458e-02
5.073530335725679663e+01,1.426529016754092376e-02
9.495655165220848914e+01,1.050016564190729175e-02
8.076045218619650257e+01,1.016385823289064037e-02
8.365692404711765562e+01,9.437804924848889471e-03
5.407300525887465170e+01,1.004220471519866320e-02
2.270775893013198399e+01,1.531009534241856672e-02
2.319938311641453055e+01,1.610126220391869603e-02
4.915521202702197456e+01,1.296734514718296191e-02
5.065969015830086164e+01,1.312624532932015441e-02
8.363917732502956426e+01,1.301427771154820348e-02
4.829980074916073107e+01,1.274213376211408982e-02
4.902635694506085429e+01,1.237970865540852575e-02
3.510986844021309139e+01,1.236806543767556520e-02
5.464110219949942859e+01,1.126482007074902474e-02
4.810825387959781096e+01,1.166275292495679190e-02
1.783169183551756021e+01,1.186140315691908489e-02
3.105001802556618173e+01,1.223221428780122376e-02
2.847350591881471971e+01,1.025312927893741628e-02
2.068392173365707265e+01,9.831282103793694341e-03
1.520443020793989675e+01,1.073392798456621403e-02
2.300931109374667471e+01,1.123661428950652359e-02
4.851732759835078213e+01,9.517290138673938082e-03
2.446003016770796989e+01,8.973940893825827284e-03
3.388737220457924337e+01,9.181155035088883060e-03
3.294199223419789746e+01,7.429545906742750401e-03
6.740469142476415243e+01,7.532906255737378126e-03
3.596368277052546603e+01,6.988916774117168336e-03
4.164787442165211928e+01,8.443058494367145991e-03
2.390311835917824723e+01,8.863592450191786626e-03
3.904320581660046940e+01,1.088171906537570809e-02
2.459196366140648848e+01,8.982702103264884885e-03
5.028109288870017224e+01,1.242453805929999953e-02
5.136553987552946410e+01,1.099451472189080445e-02
7.040167867957985948e+01,1.445444141805189708e-02
7.516905569607524740e+01,1.343965397395629861e-02
6.456171490129651147e+01,1.649607347500511509e-02
5.857866472051861706e+01,1.537588349267598499e-02
4.921061345771504136e+01,1.565728636951746466e-02
4.687496338433854248e+01,1.343955279391112131e-02
5.159782259904532964e+01,1.508496431600543815e-02
5.093062923209680548e+01,1.447356442260486036e-02
5.471944709071682666e+01,1.146772821376194733e-02
5.841626361446214588e+01,1.269894689591881398e-02
6.650927232078365137e+01,9.945289714949241688e-03
5.125425065570954786e+01,1.209933552154146205e-02
5.444122559352521762e+01,1.036591035292138037e-02
4.956947851987507647e+01,1.147954328668306274e-02
4.833837868561870721e+01,9.124557025786956058e-03
5.010717550823327571e+01,9.491795227419707118e-03
2.468463407890000738e+01,9.216611288582355482e-03
3.307620849562848520e+01,8.080504591063719308e-03
2.631693000431276630e+01,8.230530906894347604e-03
6.245777526678057257e+01,7.511798770424345066e-03
3.058697532427090948e+01,1.132289110470642915e-02
3.015892692870325931e+01,1.131418043678482366e-02
3.381573131643892793e+01,1.379022578787389257e-02
2.336216382345783060e+01,1.425764734224320082e-02
4.008313260688608182e+01,1.000014482206239286e-02
3.257756196600691112e+01,1.028833421032009261e-02
3.421768673640698921e+01,9.169242037116590374e-03
1.181082272977519310e+01,9.878170820545957923e-03
2.924259882129690524e+01,8.418330902798320386e-03
1.135366439624250390e+01,8.676493242160599265e-03
2.632801198384935404e+01,7.300024549779503616e-03
2.298841497381606658e+01,1.088334743018409302e-02
2.375185044138633472e+01,1.183029918606097464e-02
2.902958245558242467e+01,1.092069370562937826e-02
4.895070495052119242e+01,1.017063198004656242e-02
5.500479914430004413e+01,9.680399735540468065e-03
6.744881566254225902e+01,8.317484432951965934e-03
3.473932669159650999e+01,1.053397740025539993e-02
3.833332493611430891e+01,9.228790263011113493e-03
1.838641987050102955e+01,1.083911150590186057e-02
2.295604201940169986e+01,8.938320482723530885e-03
1.856846653313892759e+01,8.452844742743357426e-03
1.709858303526180379e+01,7.131635926219467327e-03
3.103280807363670846e+01,1.100702208518794002e-02
3.861664550248534766e+01,8.358365838140183537e-03
4.101584372073426721e+01,1.056769088929178368e-02
3.584424504480821128e+01,1.055977907840569691e-02
3.149078094972123409e+01,9.940177884090968530e-03
6.186818992158622166e+01,1.079680860124154589e-02
3.589335363938226209e+01,1.182264934720027999e-02
2.354156032965085288e+01,1.123266929571944441e-02
3.534013151074696424e+01,1.231354095928741815e-02
4.009305922210049289e+01,7.859912436987059534e-03
2.646756423524125879e+01,7.443166480647677233e-03
3.594138220924557459e+01,8.078628796871595644e-03
1.712437940316275586e+01,8.137286360439069735e-03
2.976798373617801730e+01,6.948834101272922427e-03
2.518747938762776073e+01,7.809474163533641766e-03
1.732499466192842874e+01,5.745616757527992856e-03
2.755561609892223274e+01,5.787646777544746060e-03
2.535540856436161405e+01,6.104824407334639991e-03
2.150864497011985677e+01,7.730930824099010827e-03
2.377988699688670593e+01,7.653295207875325523e-03
3.144507904904356366e+01,1.390438845233112064e-02
1.003282313467816955e+01,1.066211849739989032e-02
2.849103243677152975e+01,1.075204259933630613e-02
3.337849743853055173e+01,1.147057665934720500e-02
3.557634375495395318e+01,1.204036405217280559e-02
3.567538252190102810e+01,8.121391283762713353e-03
4.018572318409143662e+01,8.255659295519348836e-03
3.551354985940783848e+01,8.442612670484680309e-03
5.953986561438404124e+01,1.405979546650421366e-02
3.411355075846118723e+01,1.099259072676701809e-02
2.570796170318796925e+01,1.141202609489924170e-02
2.393214573534552514e+01,1.179189214005551926e-02
