# Bob-063c, 2020-02-26
# max(eig(GL strain rate)), max(eig(GL strain))
4.980920004433001225e+01,1.540406373749072903e-02
5.471843112773305506e+01,1.643134358065559755e-02
3.499673645678823419e+01,1.733110580462575087e-02
5.513859895008943113e+01,1.657811668443060979e-02
3.530856619223082049e+01,1.648079937718986351e-02
4.590844594343408858e+01,1.613036261645766148e-02
3.591200931850445244e+01,1.438240315278816427e-02
4.357024895394859954e+01,1.278631756956874303e-02
3.969821087255320435e+01,1.238944273861006078e-02
3.629840314211034524e+01,1.167325305893621851e-02
6.688835312446002490e+01,1.209853886650114757e-02
3.252822902295205409e+01,1.144300204351185110e-02
6.223969403403016543e+01,1.301755216431385760e-02
3.749111315272093492e+01,1.637345009588506151e-02
2.963104199590547694e+01,1.054793682966889690e-02
5.701871840818794368e+01,7.825510789359974018e-03
2.360884327201485888e+01,9.239293353385269816e-03
3.535088928192912761e+01,9.752591878114173080e-03
5.256063501076758371e+01,1.018652755994004649e-02
7.729214046315679809e+01,1.227960688156842610e-02
4.987581502800939148e+01,1.059361634522685766e-02
2.606105545794330780e+01,8.839640378671180521e-03
4.750065055968200056e+01,1.208470685967517541e-02
6.100868329800991319e+01,9.999977844823719833e-03
5.035262208602288325e+01,1.073157910305776348e-02
3.807447680649789845e+01,9.000023389066516208e-03
2.948470050239929563e+01,8.622110633691483506e-03
4.708884254069891284e+01,1.304123012719470356e-02
5.635695478583684093e+01,9.761833837087261628e-03
7.170628203992140470e+01,1.055252307836118154e-02
5.456363004470115641e+01,1.198271157645465664e-02
7.584446063609736655e+01,9.419461965768772746e-03
3.693701649347075744e+01,9.606832771040747787e-03
4.693237442826494998e+01,1.111359219189228011e-02
5.745655279261340809e+01,1.017135168163755925e-02
4.588205537770156894e+01,8.969290555053259853e-03
1.784756941099447047e+01,1.088346422991199464e-02
5.309873242491369894e+01,1.071818492846783252e-02
4.649855948426110785e+01,1.252263876160613146e-02
3.043389538728086308e+01,1.102073775706365229e-02
5.105449717739297455e+01,1.069555712210357515e-02
4.250436689032983395e+01,1.151496626508571181e-02
4.196149066658386317e+01,1.200399818644271553e-02
4.398234517221796835e+01,1.398065111069235304e-02
2.631056000665058647e+01,1.153437939280935187e-02
5.460142396995897229e+01,1.280557642444444914e-02
5.818586730510524774e+01,1.167682269824055555e-02
4.690036725234637061e+01,1.485772860418607504e-02
6.171792058428589911e+01,1.648347839969939096e-02
4.371260333442010904e+01,1.591734542471940489e-02
5.105473705134905771e+01,1.357108480712867007e-02
1.608683866219082148e+01,1.612056420270342044e-02
3.005258386907251378e+01,1.747734378409769238e-02
2.468773636817025618e+01,1.653206103236861194e-02
2.457495503444498297e+01,1.587273431425611711e-02
1.492897484773301642e+01,1.764970788102455945e-02
4.511109506195354157e+01,1.592259478437950404e-02
2.461266157460665127e+01,1.360117366750257864e-02
6.487309088883469599e+01,1.631761127822991750e-02
2.946326524766879373e+01,1.896918032720365174e-02
4.944221480056084062e+01,1.700785123509690466e-02
6.439661923205849803e+01,1.358141707607310802e-02
5.165662679564947268e+01,1.281954316953591057e-02
6.116068210251456350e+01,1.019894110222083726e-02
2.234424625584106749e+01,1.155863988230379155e-02
3.669952443393798802e+01,8.105989100745909087e-03
6.544373584196702609e+01,1.278278659031700619e-02
5.420302648561575154e+01,1.280446452893361023e-02
3.186684860220494997e+01,9.678595754342841570e-03
7.010777968953111383e+01,1.475699112186704305e-02
2.320399151698182649e+01,1.429572454840058286e-02
4.130065090905165448e+01,1.259164523307098986e-02
7.602024930019868521e+01,1.316168041545168199e-02
4.154292087314441773e+01,1.621726564133054924e-02
4.973825586321824233e+01,1.670626671336560010e-02
4.969824522544384138e+01,1.553577441449032273e-02
5.221535419022322344e+01,1.646171905068234687e-02
4.112269635882881147e+01,1.711486310877111464e-02
3.671128870921819498e+01,1.793190118591751064e-02
2.174815418620354635e+01,1.709574053224289028e-02
4.259334699778118249e+01,1.788844302701292702e-02
3.995597162847249706e+01,1.616146858685726939e-02
4.036036435924044952e+01,1.836902158105725713e-02
4.818543101520137384e+01,1.785636439278923474e-02
6.070992216452106049e+01,1.760455821543051302e-02
5.883095322262621352e+01,1.644781635569032840e-02
4.811830542453776616e+01,1.597543759753498188e-02
6.563472546719879119e+01,1.276086955361777769e-02
5.518991922486898716e+01,1.260122680155771092e-02
4.713730254402467779e+01,1.364612855853019301e-02
3.799981465036961481e+01,1.010399764332985117e-02
5.548081167923027834e+01,1.101815542849913024e-02
5.616327331420431790e+01,1.026839348658760767e-02
2.398356849316996886e+01,1.134334247616259825e-02
5.223888993567892669e+01,1.092989874569002401e-02
3.848261268342008634e+01,1.243043785677123113e-02
5.576854250431207305e+01,1.295527382977722415e-02
4.172216603147028025e+01,1.136972799791828234e-02
5.967355751447693279e+01,1.397299605903749506e-02
5.155201798237809641e+01,1.287628728612580375e-02
