0, 1, 2, 3
3, 4, 5, 6
6, 7, 8, 8
8, 8, 9, 9
9, 9, 10, 11
11, 12, 13, 14
14, 15, 16, 16
16, 16, 17, 17
17, 17, 18, 19
19, 20, 21, 0
22, 23, 24, 24
24, 24, 25, 25
25, 26, 27, 22
