time (s),q (rad),qdot (rad/s),tip_x (m),tip_y (m),tip_z (m)
1.768844221,1.371985692,2.41091861,0.980302175,-0.197503533,0
1.778894472,1.395486373,2.26560906,0.984672526,-0.174413349,0
1.788944724,1.417523604,2.119711003,0.988276714,-0.1526733,0
1.798994975,1.438092017,1.973330818,0.991207698,-0.132315155,0
1.809045226,1.457187247,1.826561471,0.993553427,-0.113364845,0
1.819095477,1.474805791,1.679483405,0.995396445,-0.095843191,0
1.829145729,1.490944901,1.53216523,0.996813569,-0.079766594,0
1.83919598,1.505602468,1.384664535,0.997875633,-0.065147687,0
1.849246231,1.518776906,1.237028957,0.998647295,-0.051995963,0
1.859296482,1.530467052,1.089297147,0.999186885,-0.040318343,0
1.869346734,1.540672103,0.941499467,0.9995463,-0.030119668,0
1.879396985,1.549391522,0.79365909,0.999770926,-0.021403171,0
1.889447236,1.556624965,0.645793035,0.999899588,-0.014170887,0
1.899497487,1.562372239,0.497913027,0.999964518,-0.008423988,0
1.909547739,1.566633246,0.350026507,0.999991334,-0.004163069,0
1.91959799,1.569407941,0.202137627,0.999999036,-0.001388386,0
1.929648241,1.570696312,0.054248219,0.999999995,-0.000100015,0
1.939698492,1.570498357,-0.093641227,0.999999956,-0.00029797,0
1.949748744,1.568814076,-0.24153058,0.999998035,-0.001982249,0
1.959798995,1.565643474,-0.389419088,0.999986724,-0.00515283,0
1.969849246,1.560986567,-0.537304398,0.999951885,-0.009809602,0
1.979899497,1.554843412,-0.685181578,0.999872755,-0.015952238,0
1.989949749,1.547214128,-0.833042133,0.999721953,-0.023580013,0
2,1.538098945,-0.980873034,0.999465488,-0.032691556,0
