time (s),q (rad),qdot (rad/s),tip_x (m),tip_y (m),tip_z (m)
0,1.570796327,0,1,-6.7226E-15,0
0.010050251,1.570053164,-0.147889411,0.999999724,-0.000743163,0
0.020100503,1.567823676,-0.295778577,0.999995582,-0.002972646,0
0.030150754,1.564107871,-0.443666257,0.999977632,-0.006688406,0
0.040201005,1.558905777,-0.59154931,0.999929308,-0.011890269,0
0.050251256,1.552217469,-0.739421578,0.999827418,-0.018577789,0
0.060301508,1.544043102,-0.887273034,0.999642154,-0.026750034,0
0.070351759,1.534382955,-1.035088732,0.999337106,-0.036405325,0
0.08040201,1.523237488,-1.182847841,0.998869292,-0.047540913,0
0.090452261,1.510607401,-1.330522719,0.998189193,-0.060152591,0
0.100502513,1.496493716,-1.478077884,0.997240831,-0.07423426,0
0.110552764,1.480897843,-1.625469213,0.995961852,-0.089777443,0
0.120603015,1.463821695,-1.772642752,0.994283668,-0.10677072,0
0.130653266,1.445267777,-1.919534011,0.992131632,-0.125199142,0
0.140703518,1.425239297,-2.066067041,0.989425266,-0.145043592,0
0.150753769,1.403740287,-2.212153571,0.986078561,-0.166280098,0
0.16080402,1.380775733,-2.357692222,0.982000346,-0.188879118,0
0.170854271,1.356351709,-2.502567776,0.977094733,-0.2128048,0
0.180904523,1.330475519,-2.646650524,0.971261668,-0.238014227,0
0.190954774,1.303155844,-2.789795671,0.96439757,-0.264456663,0
0.201005025,1.274402899,-2.931842905,0.956396088,-0.292072803,0
0.211055276,1.244228592,-3.072616043,0.947148971,-0.320794058,0
0.221105528,1.212646682,-3.211922798,0.936547053,-0.35054189,0
0.231155779,1.179672938,-3.349554744,0.924481377,-0.381227208,0
0.24120603,1.145325308,-3.485287424,0.910844421,-0.412749852,0
0.251256281,1.109624074,-3.618880681,0.895531463,-0.444998202,0
0.261306533,1.072592008,-3.750079157,0.878442042,-0.477848908,0
0.271356784,1.034254522,-3.878613055,0.859481532,-0.511166799,0
0.281407035,0.994639809,-4.004199114,0.838562787,-0.544804967,0
0.291457286,0.95377897,-4.126541842,0.815607855,-0.57860507,0
0.301507538,0.911706131,-4.245335015,0.790549721,-0.61239786,0
0.311557789,0.868458547,-4.360263388,0.76333406,-0.646003958,0
0.32160804,0.824076673,-4.47100474,0.73392094,-0.679234904,0
0.331658291,0.778604229,-4.577232147,0.702286462,-0.711894462,0
0.341708543,0.732088234,-4.678616371,0.668424279,-0.743780199,0
0.351758794,0.684579017,-4.774828674,0.632346938,-0.774685323,0
0.361809045,0.636130197,-4.865543591,0.594087025,-0.804400775,0
0.371859296,0.586798634,-4.950442055,0.553698031,-0.832717533,0
0.381909548,0.53664435,-5.029214459,0.511254932,-0.85942911,0
0.391959799,0.485730417,-5.101563916,0.466854416,-0.884334187,0
0.40201005,0.434122814,-5.167209419,0.420614746,-0.907239349,0
0.412060302,0.381890252,-5.225889027,0.372675216,-0.927961844,0
0.422110553,0.329103963,-5.277362893,0.32319521,-0.946332318,0
0.432160804,0.275837471,-5.321416146,0.272352844,-0.962197448,0
0.442211055,0.222166317,-5.357861541,0.220343213,-0.975422405,0
0.452261307,0.168167781,-5.386541802,0.167376259,-0.985893092,0
0.462311558,0.11392056,-5.407331661,0.113674312,-0.993518068,0
0.472361809,0.059504444,-5.420139469,0.059469335,-0.998230133,0
0.48241206,0.00499997,-5.424908413,0.004999949,-0.9999875,0
0.492462312,-0.049511933,-5.42161728,-0.049491706,-0.998774535,0
0.502512563,-0.103950303,-5.410280701,-0.103763196,-0.994602031,0
0.512562814,-0.158234505,-5.390949027,-0.157575014,-0.98750702,0
0.522613065,-0.212284585,-5.363707559,-0.210693748,-0.977552119,0
0.532663317,-0.266021619,-5.328675552,-0.262895088,-0.964824426,0
0.542713568,-0.319368046,-5.286004505,-0.313966625,-0.94943402,0
0.552763819,-0.372247982,-5.235876377,-0.363710371,-0.931512086,0
0.56281407,-0.424587512,-5.178501122,-0.411944954,-0.911208733,0
0.572864322,-0.476314966,-5.11411425,-0.458507441,-0.888690569,0
0.582914573,-0.527361153,-5.042973847,-0.503254768,-0.86413809,0
0.592964824,-0.57765958,-4.965357674,-0.546064764,-0.837742964,0
0.603015075,-0.627146629,-4.881559937,-0.586836761,-0.809705265,0
0.613065327,-0.67576171,-4.791888148,-0.625491808,-0.780230734,0
0.623115578,-0.723447376,-4.696659889,-0.661972506,-0.749528119,0
0.633165829,-0.770149409,-4.596199662,-0.696242493,-0.717806653,0
0.64321608,-0.815816874,-4.490835852,-0.728285624,-0.685273705,0
0.653266332,-0.860402146,-4.380897778,-0.758104877,-0.652132652,0
0.663316583,-0.9038609,-4.266713015,-0.785721039,-0.618580996,0
0.673366834,-0.946152083,-4.148604835,-0.81117122,-0.584808731,0
0.683417085,-0.987237863,-4.026889873,-0.834507235,-0.550996983,0
0.693467337,-1.027083546,-3.901876198,-0.8557939,-0.517316925,0
0.703517588,-1.065657485,-3.773861336,-0.875107293,-0.483928947,0
0.713567839,-1.102930962,-3.643130936,-0.892533003,-0.450982082,0
0.72361809,-1.138878065,-3.509957324,-0.90816441,-0.418613669,0
0.733668342,-1.17347555,-3.374598567,-0.922101025,-0.38694922,0
0.743718593,-1.206702688,-3.237297681,-0.934446902,-0.356102495,0
0.753768844,-1.238541116,-3.098281993,-0.945309153,-0.326175727,0
0.763819095,-1.268974678,-2.957762923,-0.95479657,-0.297260003,0
0.773869347,-1.297989256,-2.815935685,-0.963018366,-0.269435756,0
0.783919598,-1.325572618,-2.672979429,-0.970083039,-0.242773347,0
0.793969849,-1.351714251,-2.529057356,-0.976097356,-0.217333732,0
0.804020101,-1.376405201,-2.38431706,-0.981165467,-0.193169165,0
0.814070352,-1.399637924,-2.238890984,-0.985388124,-0.170323939,0
0.824120603,-1.421406132,-2.092896953,-0.988862022,-0.148835147,0
0.834170854,-1.44170465,-1.946438833,-0.991679234,-0.12873343,0
0.844221106,-1.46052928,-1.799607247,-0.993926747,-0.11004373,0
0.854271357,-1.477876671,-1.652480343,-0.995686074,-0.092786002,0
0.864321608,-1.493744198,-1.505124652,-0.997032953,-0.076975908,0
0.874371859,-1.508129853,-1.357595936,-0.998037099,-0.062625466,0
0.884422111,-1.521032133,-1.209940107,-0.998762018,-0.049743656,0
0.894472362,-1.532449955,-1.06219416,-0.999264868,-0.038336975,0
0.904522613,-1.542382565,-0.914387097,-0.999596356,-0.028409939,0
0.914572864,-1.550829464,-0.766540924,-0.999800669,-0.019965536,0
0.924623116,-1.557790345,-0.618671577,-0.999915423,-0.013005615,0
0.934673367,-1.563265032,-0.470789929,-0.99997164,-0.007531223,0
0.944723618,-1.56725344,-0.322902753,-0.999993724,-0.003542879,0
0.954773869,-1.569755533,-0.175013694,-0.999999458,-0.001040793,0
0.964824121,-1.570771302,-0.027124271,-1,-2.50247E-05,0
0.974874372,-1.570300745,0.120765172,-0.999999877,-0.000495582,0
0.984924623,-1.568343862,0.268654457,-0.999996993,-0.002452463,0
0.994974874,-1.564900659,0.416542617,-0.999982621,-0.005895634,0
1.005025126,-1.559971159,0.564426896,-0.999941408,-0.010824957,0
1.015075377,-1.553555425,0.712301783,-0.999851379,-0.017240047,0
1.025125628,-1.545653597,0.860158026,-0.999683938,-0.025140081,0
1.035175879,-1.536265925,1.007981654,-0.999403885,-0.03452354,0
1.045226131,-1.525392833,1.155753004,-0.998969438,-0.045387895,0
1.055276382,-1.513034972,1.303445758,-0.998332277,-0.057729242,0
1.065326633,-1.499193294,1.451025956,-0.997437598,-0.071541864,0
1.075376884,-1.483869139,1.598451065,-0.99622421,-0.086817754,0
1.085427136,-1.467064316,1.745669063,-0.994624658,-0.103546079,0
1.095477387,-1.448781214,1.892617451,-0.992565387,-0.121712584,0
1.105527638,-1.429022903,2.039222413,-0.98996697,-0.141298967,0
1.115577889,-1.407793255,2.185398025,-0.986744388,-0.162282198,0
1.125628141,-1.385097072,2.331045376,-0.982807385,-0.184633812,0
1.135678392,-1.360940216,2.47605185,-0.9780609,-0.20831917,0
1.145728643,-1.335329755,2.620290394,-0.972405597,-0.233296708,0
1.155778894,-1.308274106,2.763619065,-0.965738491,-0.25951718,0
1.165829146,-1.279783194,2.9058804,-0.957953676,-0.286922906,0
1.175879397,-1.249868601,3.046901168,-0.948943178,-0.315447055,0
1.185929648,-1.218543735,3.186492018,-0.938597921,-0.345012959,0
1.195979899,-1.185823984,3.324447495,-0.926808819,-0.375533504,0
1.206030151,-1.151726884,3.460546066,-0.913467989,-0.406910595,0
1.216080402,-1.116272278,3.594550406,-0.898470089,-0.439034735,0
1.226130653,-1.079482469,3.726207923,-0.881713762,-0.471784741,0
1.236180905,-1.041382377,3.855251361,-0.86310319,-0.505027606,0
1.246231156,-1.001999669,3.981399888,-0.842549728,-0.538618563,0
1.256281407,-0.961364911,4.104360107,-0.819973609,-0.572401328,0
1.266331658,-0.919511661,4.223827671,-0.795305679,-0.606208608,0
1.27638191,-0.876476596,4.339488832,-0.768489158,-0.639862808,0
1.286432161,-0.832299574,4.451022507,-0.739481345,-0.67317705,0
1.296482412,-0.787023718,4.558102431,-0.708255287,-0.705956407,0
1.306532663,-0.740695439,4.660399597,-0.674801309,-0.737999454,0
1.316582915,-0.693364461,4.757584964,-0.639128402,-0.769100049,0
1.326633166,-0.645083803,4.84933224,-0.601265403,-0.799049382,0
1.336683417,-0.595909732,4.935320943,-0.561261916,-0.827638243,0
1.346733668,-0.545901705,5.015239562,-0.519188952,-0.854659483,0
1.35678392,-0.495122239,5.08878858,-0.475139214,-0.879910636,0
1.366834171,-0.44363679,5.15568382,-0.429227032,-0.903196631,0
1.376884422,-0.391513584,5.215659648,-0.381587907,-0.924332553,0
1.386934673,-0.338823411,5.268471924,-0.332377627,-0.94314639,0
1.396984925,-0.28563939,5.313901017,-0.281770992,-0.959481687,0
1.407035176,-0.232036715,5.351754384,-0.22996013,-0.973200051,0
1.417085427,-0.178092368,5.381869147,-0.177152437,-0.984183425,0
1.427135678,-0.123884812,5.404113983,-0.123568169,-0.992336086,0
1.43718593,-0.069493661,5.418391013,-0.06943774,-0.997586287,0
1.447236181,-0.014999342,5.424636942,-0.01499878,-0.999887512,0
1.457286432,0.039517261,5.422824001,0.039506977,-0.999219295,0
1.467336683,0.093975166,5.412960257,0.093836906,-0.995587583,0
1.477386935,0.148293649,5.395089529,0.147750726,-0.989024632,0
1.487437186,0.202392609,5.369290803,0.201013676,-0.979588435,0
1.497487437,0.256192903,5.335677188,0.253399558,-0.967361703,0
1.507537688,0.309616701,5.294394424,0.304693586,-0.952450429,0
1.51758794,0.362587783,5.245619034,0.354694949,-0.934982082,0
1.527638191,0.415031858,5.189556033,0.403219084,-0.915103475,0
1.537688442,0.466876821,5.126436441,0.450099554,-0.892978382,0
1.547738693,0.518053013,5.056514437,0.495189564,-0.868784954,0
1.557788945,0.568493429,4.980064385,0.538363053,-0.842713014,0
1.567839196,0.618133912,4.897377743,0.579515381,-0.814961301,0
1.577889447,0.666913309,4.808759785,0.618563617,-0.785734721,0
1.587939698,0.714773587,4.714526524,0.655446437,-0.755241662,0
1.59798995,0.761659932,4.615001382,0.690123674,-0.72369145,0
1.608040201,0.807520805,4.510512293,0.722575549,-0.691291961,0
1.618090452,0.852307971,4.401388589,0.752801625,-0.658247457,0
1.628140704,0.895976502,4.287958381,0.780819529,-0.624756643,0
1.638190955,0.93848475,4.170545882,0.806663497,-0.591011,0
1.648241206,0.979794297,4.049469133,0.830382772,-0.557193371,0
1.658291457,1.01986988,3.925037882,0.852039915,-0.523476823,0
1.668341709,1.0586793,3.797551742,0.871709068,-0.490023775,0
1.67839196,1.096193313,3.667298621,0.889474209,-0.456985374,0
1.688442211,1.132385501,3.534553381,0.905427412,-0.42450112,0
1.698492462,1.167232141,3.399576773,0.919667187,-0.392698694,0
1.708542714,1.200712055,3.262614608,0.932296868,-0.361694,0
1.718592965,1.232806458,3.123897144,0.943423113,-0.331591359,0
1.728643216,1.263498799,2.983638712,0.953154504,-0.302483871,0
1.738693467,1.292774601,2.842037521,0.961600265,-0.274453878,0
1.748743719,1.320621297,2.699275647,0.968869104,-0.247573544,0
1.75879397,1.347028069,2.555519203,0.975068177,-0.221905498,0
