time_stamp,time_(s),max_principal_green_lagrange_strain_percentile_95.0
1,0.01760005653691007,0.004383463366896724
2,0.017800021921147303,0.004258120914569938
3,0.01800002854424886,0.004142157610318057
4,0.01820001321679503,0.004099450935956307
5,0.018400042923253944,0.004013144820716508
6,0.01860005750717186,0.00397158185563869
7,0.01880004375036259,0.003928416651697812
8,0.019000038865710136,0.003915476883738359
9,0.019200004463107875,0.0038949547133704686
10,0.019400012974839568,0.003888498150017462
11,0.01960004255158938,0.003897334358145526
12,0.019800034835824622,0.0039000330427578847
13,0.020000036383649007,0.0039320053212476055
14,0.020200059802711286,0.0039576004823440435
15,0.020400058370768408,0.0040048796320274705
16,0.020600059702636172,0.004033166913849129
17,0.020800055882741503,0.004056747735511345
18,0.021000038779212183,0.004048621590458326
19,0.021200010028234916,0.004032593055752234
20,0.02140002521582802,0.004036928353315048
21,0.021600027547788333,0.004022154319615568
22,0.02180002179831603,0.003996974450216068
23,0.02200005152963312,0.003947723222557617
24,0.022200057850463077,0.003954781050425331
25,0.022400049072688215,0.003967483911519295
26,0.022600008419471924,0.0039579773811676605
27,0.02280003412356875,0.003919146558713216
28,0.023000022297414466,0.0038973568808372038
29,0.02320000571715078,0.0038864643839395087
30,0.0234000235550914,0.003836763640086987
31,0.023600049453785795,0.003805911562450251
32,0.02380004748629363,0.003780194750992164
33,0.024000028164307775,0.0037662575905448754
34,0.024200000611946815,0.003750817091483634
35,0.024400034161433378,0.003708073457698446
36,0.02460000231948768,0.003688107561912144
37,0.024800027591701555,0.0036760071294248972
38,0.02500002428829002,0.00365344938163387
39,0.025200054354264506,0.003641792558103352
40,0.025400045165434863,0.0036320524559867195
41,0.025600039024572706,0.0036054104191265354
42,0.02580001370853688,0.00356907767562138
43,0.0260000085935582,0.0035570961297901457
44,0.026200035572886617,0.0035425870784366606
45,0.026400054083399987,0.00352780523388585
46,0.02660003807152626,0.003496335701971943
47,0.026800015540370977,0.0034836091101585094
48,0.027000006653571766,0.003459286028516864
49,0.02720003196727322,0.0034573826427675594
50,0.027400014523966554,0.003446745790503544
51,0.02760003023820873,0.003434332761696341
52,0.02780005890656822,0.0034273826038875603
53,0.02800005067334659,0.0034087586133051415
54,0.028200006948684915,0.0034082715849230913
55,0.02840004345007821,0.003382059571634811
56,0.028600000459051027,0.003424150322368846
57,0.028800062336268233,0.003420845391044762
58,0.02900005255982267,0.0034319504751850576
59,0.029200058144509676,0.003449110644777694
60,0.029400008701917155,0.0034548956909085746
61,0.0296000282511001,0.003465584376025693
62,0.029800029890079696,0.0034902801949030023
63,0.03000002271542966,0.0035262639339347763
64,0.030200061113112114,0.0035402035689799135
65,0.030400053299499713,0.0035643234127859602
66,0.030600044168515805,0.003593089377771033
67,0.030800044123488145,0.0036399155296937503
68,0.031000049539285954,0.0036531081412772863
69,0.03120001489056138,0.003635256815125803
70,0.031400038267013784,0.0036208186099133347
71,0.03160001254040658,0.003632564732938291
72,0.03180005229242986,0.003611572850824826
73,0.03200001569563876,0.003596569899455928
74,0.032200019042332606,0.0035962363465786825
75,0.03240002697437883,0.003615179205437305
76,0.03260002837680425,0.0036068992930553888
77,0.03280002550530412,0.003581303578264443
78,0.033000009958710844,0.0035814306933201062
79,0.033200035752951586,0.0035889453946864264
80,0.03340003928109391,0.0035680384368160286
81,0.033600041863128254,0.003549425481288975
82,0.033800001655352796,0.0035648471359466193
83,0.03400005861384256,0.0035736963812564022
84,0.03420000287792104,0.0035680103954348836
85,0.03440000938321171,0.0035777154644380618
86,0.034600028943846756,0.0035603488647320183
