time_stamp,time_(s),max_principal_green_lagrange_strain_percentile_95.0
1,0.0,0.0
2,0.00020005588693891688,5.050950182580893e-16
3,0.0004000478786727874,5.314738952765973e-13
4,0.0006000398704099675,1.2933992207995787e-06
5,0.0008000318849887331,0.00017194450866281618
6,0.0010000243459340333,0.00047152387572130207
7,0.0012000098977334814,0.000771672401168225
8,0.0014000323742766867,0.0009017901956340508
9,0.00160005704444952,0.0010720113490869923
10,0.001800003359631148,0.0012103016890549025
11,0.0020000020368902464,0.0015109512043490628
12,0.0022000324176609303,0.002103220716653926
13,0.002400040310788911,0.002916199677535254
14,0.0026000635114250773,0.003578667931675707
15,0.0028000213333101466,0.004089715561231408
16,0.003000033955053512,0.004780598044233248
17,0.003200039333691676,0.005438380471270403
18,0.0034000418274922123,0.006178702717971279
19,0.0036000352875247927,0.007043439437727991
20,0.00380005407758953,0.00815166313818276
21,0.004000000344927928,0.0092962705278891
22,0.00420005256705388,0.010150253908734787
23,0.004400036705693153,0.010847556327623187
24,0.004600010583415969,0.011380918617214195
25,0.00480005280358536,0.01180708675477474
26,0.005000008559054241,0.012069986791948607
27,0.005200015258684554,0.01234828416795095
28,0.00540006290268799,0.012637625602151266
29,0.005600050084321754,0.012864377649327898
30,0.00580000428262166,0.013038920686082887
31,0.006000033993209164,0.012955417900587251
32,0.006200030855168919,0.013014703045362903
33,0.0064000007709799685,0.01288453853665033
34,0.006600011479329512,0.012608901656799433
35,0.006800050715926076,0.012428390013678263
36,0.007000055457800934,0.012489020254728509
37,0.007200037979325135,0.012513346771642413
38,0.007400050993742457,0.012340715498587326
39,0.0076000620448581045,0.012048785879416522
40,0.007800013130848782,0.011666938845288822
41,0.008000060029380028,0.01124312098123053
42,0.008200006282949085,0.010669546305270472
43,0.008400039047353284,0.01008839117833226
44,0.008600062126528536,0.00954012105580786
45,0.008800022625550116,0.009063685017393464
46,0.009000001995608001,0.008679212635850229
47,0.009200037951880907,0.00847705364661749
48,0.009400046737748146,0.008356390356961396
49,0.009600033244690918,0.008242471721481208
50,0.009800016246510139,0.008027480135246342
51,0.010000030740917116,0.007864328738051788
52,0.010200047590755764,0.007861455112708167
53,0.010400031851137975,0.008111792780554987
54,0.010600005808103179,0.00856791110591547
55,0.010800016505606629,0.00901911728643616
56,0.011000002463148025,0.009325895719056305
57,0.011200009903610695,0.009356105757136385
58,0.0114000432867844,0.009249876450612501
59,0.011600015219533353,0.009108379480051127
60,0.011800053986348183,0.009034266866769437
61,0.012000040721531434,0.008966609835361867
62,0.01220003559825678,0.009010204678205923
63,0.012400007089862358,0.009020010432791792
64,0.012600030667410316,0.008936501127766127
65,0.012800051461102028,0.008775458660179774
66,0.013000040757297082,0.00863285247434726
67,0.01320004858926341,0.00842125065049847
68,0.013400003541245459,0.00816380394530251
69,0.013600046641097175,0.007953647790072278
70,0.013800041942242533,0.007763582887472802
71,0.014000032961803088,0.007589566080385381
72,0.014200013106613034,0.0074022203095337365
73,0.014400042469249318,0.007186335198139965
74,0.014600035839309152,0.006900956562163469
75,0.014800038265180287,0.00666964564976865
76,0.015000029673337967,0.006461598816269172
77,0.015200035315631903,0.006252979179798782
78,0.0154000131040683,0.00601831370996016
79,0.015600056979567026,0.005765883601552436
80,0.01580004658345165,0.005530822093358251
81,0.016000002833401895,0.005348022152647027
82,0.016200021740954907,0.00519472601733986
83,0.01640002159616239,0.005037984800575363
84,0.016600006132879878,0.004876147965440657
85,0.01680001136943539,0.004751235129331052
86,0.017000012167348515,0.0045920430068223895
87,0.01720000256901242,0.0045091079155575135
88,0.017400038724189142,0.004468015243502524
89,0.017600056536910023,0.004383464244460534
