time_stamp,time_(s),max_principal_green_lagrange_strain_percentile_95.0
1,0.0,0.0
2,0.00020026642018561687,2.82636074503914e-07
3,0.00040017901232744296,1.5976623585478942e-06
4,0.0006000916049319677,5.242558532633573e-06
5,0.0008000041995425272,1.2269141459910474e-05
6,0.0010002706266328328,2.3136999982949287e-05
7,0.001200182237606447,3.7544962594896673e-05
8,0.0014000891773481594,5.489897807998731e-05
9,0.0016003411039301903,7.446446392080498e-05
10,0.0018002249885413432,9.586246236646301e-05
11,0.002000088675298084,0.00011894301492948434
12,0.0022002803552118753,0.00014258102527756845
13,0.0024000893323721352,0.0001659724446023772
14,0.002600221705655202,0.0001896339787218582
15,0.0028003219801285054,0.00021243893377412355
16,0.00300003605605935,0.00023455048363044177
17,0.003200073872620122,0.0002566304018830556
18,0.003400084055896881,0.0002785975077494264
19,0.0036000641308107147,0.0003009364278285748
20,0.003800013594692383,0.0003231692576160442
21,0.004000288357347022,0.00034384876594619276
22,0.004200190948390272,0.0003627324728545767
23,0.004400085692894862,0.0003789013916354689
24,0.0046003330059996685,0.0003929440803717221
25,0.004800226596331244,0.0004329026026527851
26,0.0050001025770307385,0.0007721500748077176
27,0.005200294804567571,0.0013515212239404413
28,0.005400103286852763,0.0019298224978106684
29,0.005600250129891711,0.0024671089804386387
30,0.005800004354608933,0.0030600940977841707
31,0.006000014811061421,0.003835939895062615
32,0.006200222523558555,0.004856869746256218
33,0.006400242604704293,0.006092162914804389
34,0.006600074052396813,0.0074118888405016025
35,0.006800113121441038,0.008664246804214034
36,0.007000034178856577,0.009864954342939247
37,0.007200175725164372,0.011143370889126746
38,0.007400200616743561,0.012604691017930544
39,0.007600194471000362,0.014225527974875187
40,0.0078002141423609015,0.015989776065048974
41,0.008000266368831034,0.017880785907096488
42,0.008200042567327271,0.019844493847106494
43,0.00840032485988821,0.02180597657561831
44,0.00860007906296775,0.02368972816910462
45,0.00880031457765122,0.025484167057553873
46,0.00900025808283391,0.027254237020629804
47,0.009200129293934598,0.029031527181097694
48,0.009400242580753825,0.030801935449387016
49,0.009600255494862405,0.032520503979263884
50,0.00980017592242679,0.034168514045144295
51,0.01000000608679096,0.035775418610570875
52,0.010200098189336138,0.03743826245246129
53,0.010400098627863102,0.03919402530207906
54,0.010600001786464261,0.04101911306625487
55,0.01080015794975152,0.04286290636115543
56,0.011000223836053804,0.044602612544971505
57,0.011200210869513153,0.04620483456639249
58,0.01140013123126782,0.047683595205387584
59,0.011600342158815752,0.049088973501815666
60,0.011800148534573,0.05042186799799048
61,0.012000259903870884,0.05170901020487451
62,0.012200341196761267,0.05287031478929578
63,0.012400062862976537,0.05385534171944116
64,0.01260014532344909,0.05465350712543432
65,0.01280025753361706,0.055279536780637184
66,0.013000065846125359,0.0557941832740116
67,0.013200286822579673,0.05615895734757695
68,0.013400238607745715,0.05636446210804119
69,0.013600288722974193,0.056365795751645506
70,0.013800100933323952,0.056197660260690445
71,0.01400003698145064,0.05587012473911588
72,0.014200105785163217,0.05537765006317416
73,0.01440031336675952,0.054738474226269346
74,0.014600312736675058,0.05394276921478619
75,0.014800104522194218,0.052997207563047447
76,0.015000036054462474,0.0519450166795308
77,0.01520010266775746,0.0507835028944867
78,0.01540026477398329,0.049525453733016075
79,0.015600128250898362,0.04814475727821445
80,0.01580004766663199,0.04669976900114077
81,0.016000021233003127,0.045177094522583706
82,0.016200046076596173,0.04358679785917037
83,0.01640011626404053,0.041943347407559256
84,0.01660022889966374,0.04025059435518312
85,0.016800030670277428,0.038513647499409415
86,0.01700022733795708,0.03674030898161284
87,0.01720011345318436,0.034960165337354604
88,0.017400037069538434,0.033164033530662405
89,0.01760034928179478,0.031371018304267806
90,0.017800342814366765,0.02958870012081158
91,0.01800001469792518,0.02783557548536306
92,0.01820006829627246,0.026104326068089864
93,0.01840014693053464,0.02439752123356532
94,0.01860024896234482,0.02273994461096916
95,0.0188000188010937,0.02112066308745543
96,0.019000162262095673,0.019551103122583853
97,0.019200324086687533,0.018032955122218156
98,0.019400148762497904,0.016581168134373173
99,0.01960034154353699,0.015186778174857238
100,0.019800192867409142,0.01386204818865797
101,0.020000054505121226,0.012616069928895702
102,0.020200278608919667,0.011440479538123023
103,0.02040015382824318,0.01033675154741608
104,0.02060002889604488,0.009308692938315214
105,0.02080025819695715,0.00835580901102788
106,0.021000134892306226,0.007478893658613698
107,0.02120001331838567,0.006682653066005902
108,0.021400247645549264,0.005959570001710706
109,0.02160013063607371,0.005313821333923792
110,0.021800016258649167,0.004744808551946011
111,0.022000258431610117,0.004253055364573176
112,0.022200149630028383,0.003841084264073022
113,0.022400043619392424,0.0035355583985405576
114,0.022600294099217964,0.0033346291012614103
115,0.022800193259923853,0.003210566503396707
116,0.023000094628828575,0.0031275094987222502
117,0.02319999758738627,0.003068119857874298
118,0.023400255757166453,0.003021318354014437
119,0.02360016103195275,0.0029773861779387603
120,0.023800066327479746,0.0029337540077973793
121,0.02400032561721425,0.0028874299957050292
122,0.02420023139713433,0.002842097982902999
123,0.024400137552615157,0.002791170709914071
124,0.02460004407621224,0.0027347732681038536
125,0.02480030479810865,0.002670809310306966
126,0.02500021223958227,0.0025983013379792365
